Blue Level 5
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Festering
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Festering
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Protection
    Sigil of Defense	 Surge of Destruction
    Sigil of Defense	 Surge of Destruction
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Protection
    Sigil of Defense	 Surge of Regeneration
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Destruction	 Surge of Festering
    Sigil of Destruction	 Surge of Destruction
    Sigil of Destruction	 Surge of Destruction
    Sigil of Destruction	 Surge of Festering
    Sigil of Destruction	 Surge of Festering
    Sigil of Destruction	 Surge of Affliction
    Sigil of Destruction	 Surge of Festering
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Fury	 Surge of Destruction
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Protection
    Sigil of Fury	 Surge of Protection
    Sigil of Fury	 Surge of Destruction
    Sigil of Fury	 Surge of Destruction
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Destruction
    Sigil of Growth	 Surge of Festering
    Sigil of Growth	 Surge of Festering
    Sigil of Growth	 Surge of Regeneration
    Sigil of Growth	 Surge of Protection
    Sigil of Growth	 Surge of Festering
    Sigil of Growth	 Surge of Destruction
    Sigil of Growth	 Surge of Protection
    Sigil of Growth	 Surge of Festering
    Sigil of Growth	 Surge of Regeneration
    Sigil of Growth	 Surge of Protection
    Sigil of Growth	 Surge of Affliction
    Sigil of Growth	 Surge of Festering
    Sigil of Growth	 Surge of Regeneration
    Sigil of Growth	 Surge of Protection
    Sigil of Vigor	 Surge of Regeneration
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Affliction
    Sigil of Vigor	 Surge of Regeneration
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Regeneration

Yellow Level 5
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Affliction
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Destruction
    Sigil of Defense	 Surge of Affliction
    Sigil of Defense	 Surge of Protection
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Destruction
    Sigil of Defense	 Surge of Festering
    Sigil of Defense	 Surge of Destruction
    Sigil of Defense	 Surge of Festering
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Destruction	 Surge of Affliction
    Sigil of Destruction	 Surge of Affliction
    Sigil of Destruction	 Surge of Destruction
    Sigil of Destruction	 Surge of Affliction
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Destruction
    Sigil of Fury	 Surge of Destruction
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Destruction
    Sigil of Growth	 Surge of Destruction
    Sigil of Growth	 Surge of Regeneration
    Sigil of Growth	 Surge of Protection
    Sigil of Growth	 Surge of Destruction
    Sigil of Growth	 Surge of Affliction
    Sigil of Growth	 Surge of Protection
    Sigil of Growth	 Surge of Affliction
    Sigil of Growth	 Surge of Regeneration
    Sigil of Growth	 Surge of Destruction
    Sigil of Growth	 Surge of Destruction
    Sigil of Growth	 Surge of Destruction
    Sigil of Growth	 Surge of Protection
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Protection
    Sigil of Vigor	 Surge of Affliction
    Sigil of Vigor	 Surge of Regeneration
    Sigil of Vigor	 Surge of Festering
    Sigil of Vigor	 Surge of Regeneration
    Sigil of Vigor	 Surge of Regeneration
    Sigil of Vigor	 Surge of Festering
    Sigil of Vigor	 Surge of Destruction

Red Level 4
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Regeneration
    Sigil of Defense	 Surge of Festering
    Sigil of Defense	 Surge of Festering
    Sigil of Defense	 Surge of Festering
    Sigil of Defense	 Surge of Festering
    Sigil of Defense	 Surge of Protection
    Sigil of Defense	 Surge of Destruction
    Sigil of Defense	 Surge of Affliction
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Destruction	 Surge of Protection
    Sigil of Destruction	 Surge of Protection
    Sigil of Destruction	 Surge of Regeneration
    Sigil of Destruction	 Surge of Destruction
    Sigil of Destruction	 Surge of Protection
    Sigil of Destruction	 Surge of Destruction
    Sigil of Fury	 Surge of Protection
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Destruction
    Sigil of Fury	 Surge of Protection
    Sigil of Fury	 Surge of Protection
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Regeneration
    Sigil of Fury	 Surge of Affliction
    Sigil of Fury	 Surge of Festering
    Sigil of Fury	 Surge of Destruction
    Sigil of Growth	 Surge of Festering
    Sigil of Growth	 Surge of Protection
    Sigil of Growth	 Surge of Regeneration
    Sigil of Growth	 Surge of Affliction
    Sigil of Growth	 Surge of Affliction
    Sigil of Growth	 Surge of Protection
    Sigil of Growth	 Surge of Affliction
    Sigil of Vigor	 Surge of Festering
    Sigil of Vigor	 Surge of Protection
    Sigil of Vigor	 Surge of Festering
    Sigil of Vigor	 Surge of Protection
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Affliction
    Sigil of Vigor	 Surge of Affliction
    Sigil of Vigor	 Surge of Festering
    Sigil of Vigor	 Surge of Affliction
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Affliction
    Sigil of Vigor	 Surge of Destruction
    Sigil of Vigor	 Surge of Protection
    Sigil of Vigor	 Surge of Protection
    Sigil of Vigor	 Surge of Protection
    Sigil of Vigor	 Surge of Festering
    Sigil of Vigor	 Surge of Festering
